"","DIVISION","DISTRICT","num.x","meanAs.x","meanAs50ppb.x","std50ppb.x","se50ppb.x","lb50ppb.x","ub50ppb.x","meanAs10ppb.x","std10ppb.x","se10ppb.x","lb10ppb.x","ub10ppb.x","num.y","meanAs.y","meanAs50ppb.y","std50ppb.y","se50ppb.y","lb50ppb.y","ub50ppb.y","meanAs10ppb.y","std10ppb.y","se10ppb.y","lb10ppb.y","ub10ppb.y"
"11","Chittagong","Cox's Bazar",43,3.81860465116279,0.0232558139534884,0.152498570332605,0.0455813953488372,-0.0223255813953489,0.0688372093023256,0.0465116279069767,0.213082632316447,0.0636898017102937,-0.0171781738033169,0.11020142961727,245,9.51020408163265,0,0,0,0,0,0.204081632653061,0.403853966299311,0.0505705156111774,0.153511117041884,0.254652148264239
"12","Chittagong","Feni",53,53.5981132075472,0.320754716981132,0.471233443114996,0.126868627335606,0.193886089645526,0.447623344316738,0.528301886792453,0.503975487228437,0.135683659998346,0.392618226794106,0.663985546790799,188,124.308510638298,0.473404255319149,0.50062539111374,0.0715632440500671,0.401841011269082,0.544967499369216,0.547872340425532,0.499031944880891,0.0713354645892844,0.476536875836247,0.619207805014816
"13","Chittagong","Lakshmipur",34,179.297058823529,0.558823529411765,0.503994737261378,0.16941139334481,0.389412136066955,0.728234922756575,0.764705882352941,0.430561545202046,0.14472776380509,0.619978118547852,0.909433646158031,180,46.5555555555556,0.233333333333333,0.424132371031056,0.0619614024547954,0.171371930878538,0.295294735788129,0.355555555555556,0.48001655258031,0.0701255099371188,0.285430045618437,0.425681065492674
"14","Chittagong","Noakhali",49,162.159183673469,0.693877551020408,0.465657314657332,0.130384048104053,0.563493502916355,0.824261599124461,0.836734693877551,0.373437789079955,0.104562580942387,0.732172112935164,0.941297274819939,180,68.4722222222222,0.3,0.459535835770772,0.0671334866362009,0.232866513363799,0.367133486636201,0.388888888888889,0.488857851280446,0.0714171332707739,0.317471755618115,0.460306022159663
"15","Dhaka","Dhaka",45,41.3466666666667,0.311111111111111,0.468179366473918,0.136792436175533,0.174318674935578,0.447903547286644,0.422222222222222,0.499494694160959,0.145942134497798,0.276280087724424,0.56816435672002,176,7.58522727272727,0.00568181818181818,0.0753778361444406,0.0111363636363636,-0.00545454545454541,0.0168181818181818,0.0113636363636364,0.106295349374755,0.0157041343190494,-0.004340497955413,0.0270677706826857
"16","Dhaka","Faridpur",63,140.249206349206,0.650793650793651,0.480548415161132,0.118665082614641,0.53212856817901,0.769458733408291,0.761904761904762,0.429338790741092,0.106019542392785,0.655885219511976,0.867924304297547,184,78.5597826086957,0.33695652173913,0.473959577558488,0.0684838967085006,0.26847262503063,0.405440418447631,0.739130434782609,0.440307026943435,0.0636213347740613,0.675509100008547,0.80275176955667
"17","Dhaka","Gazipur",44,4.29545454545455,0.0227272727272727,0.150755672288882,0.0445454545454545,-0.0218181818181818,0.0672727272727273,0.0227272727272727,0.150755672288882,0.0445454545454545,-0.0218181818181818,0.0672727272727273,195,7.33333333333333,0,0,0,0,0,0.0666666666666667,0.250085895896711,0.035101685048466,0.0315649816182007,0.101768351715133
"18","Dhaka","Gopalganj",42,186.985714285714,0.785714285714286,0.415299732236633,0.125600994248046,0.66011329146624,0.911315279962331,0.833333333333333,0.377195470232912,0.114076948309031,0.719256385024302,0.947410281642364,193,106.891191709845,0.476683937823834,0.500755043036094,0.0706484679798672,0.406035469843967,0.547332405803701,0.595854922279793,0.492002095703022,0.0694135681461268,0.526441354133666,0.66526849042592
"19","Dhaka","Jamalpur",63,14.3634920634921,0.0634920634920635,0.245804529802605,0.0606981813191467,0.00279388217291678,0.12419024481121,0.317460317460317,0.469227121063812,0.115869438602553,0.201590878857764,0.433329756062871,236,18.6652542372881,0.0338983050847458,0.181352056336675,0.0231378261842327,0.0107604789005131,0.0570361312689784,0.241525423728814,0.428917741691945,0.054723527017404,0.18680189671141,0.296248950746218
"20","Dhaka","Kishoreganj",107,52.2785046728972,0.271028037383178,0.446582271951746,0.0846185660207067,0.186409471362471,0.355646603403884,0.588785046728972,0.494369639188785,0.0936733331789069,0.495111713550065,0.682458379907879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Dhaka","Madaripur",36,191.483333333333,0.694444444444444,0.467176592151157,0.152611020102711,0.541833424341733,0.847055464547156,0.694444444444444,0.467176592151157,0.152611020102711,0.541833424341733,0.847055464547156,195,52.6153846153846,0.215384615384615,0.412147044584857,0.0578483472680474,0.157536268116568,0.273232962652663,0.384615384615385,0.487756520687764,0.0684607810773491,0.316154603538035,0.453076165692734
"22","Dhaka","Manikganj",47,24.1340425531915,0.148936170212766,0.359874579858723,0.102886480961546,0.0460496892512201,0.251822651174312,0.638297872340426,0.485687854441406,0.138855915327104,0.499441957013322,0.777153787667529,175,48.5714285714286,0.171428571428571,0.377964473009226,0.0559999999999998,0.115428571428572,0.227428571428571,0.44,0.497811301553132,0.0737567546098303,0.36624324539017,0.51375675460983
"23","Dhaka","Munshiganj",46,188.717391304348,0.826086956521739,0.383223046516833,0.110746185019279,0.71534077150246,0.936833141541018,0.91304347826087,0.284884924644768,0.0823278215145835,0.830715656746286,0.995371299775453,188,7.5,0,0,0,0,0,0,0,0,0,0
"24","Dhaka","Mymensingh",108,16.0453703703704,0.12962962962963,0.337461457614884,0.0636455980423917,0.0659840315872379,0.193275227672021,0.25,0.435031420070549,0.0820473991113343,0.167952600888666,0.332047399111334,164,24.6036585365854,0.0731707317073171,0.261214145037284,0.0399788997752089,0.0331918319321082,0.113149631482526,0.152439024390244,0.360546827283327,0.0551817952667619,0.097257229123482,0.207620819657006
"25","Dhaka","Narayanganj",30,49.0133333333333,0.233333333333333,0.430183067152076,0.153939033560822,0.0793942997725115,0.387272366894155,0.3,0.466091599699399,0.166788736905766,0.133211263094234,0.466788736905766,154,9.61038961038961,0,0,0,0,0,0.0779220779220779,0.268923478011347,0.0424741239728351,0.0354479539492428,0.120396201894913
"26","Dhaka","Narsingdi",56,41.3625,0.267857142857143,0.446850450011326,0.11703729009477,0.150819852762373,0.384894432951913,0.482142857142857,0.504203113061373,0.132058871169435,0.350083985973422,0.614201728312292,196,63.2142857142857,0.25,0.43412157106223,0.0607770199487121,0.189222980051288,0.310777019948712,0.48469387755102,0.501045479447868,0.0701463671227016,0.414547510428319,0.554840244673722
